900000  8.500000e-001 8.500000e-001 7.225000e-001 5.220062e-001
910000  8.250000e-001 8.250000e-001 6.806250e-001 4.632504e-001
920000  9.035714e-001 9.035714e-001 8.164413e-001 6.665764e-001
930000  9.321429e-001 9.321429e-001 8.688903e-001 7.549704e-001
940000  8.928571e-001 8.928571e-001 7.971939e-001 6.355181e-001
950000  9.142857e-001 9.142857e-001 8.359184e-001 6.987595e-001
960000  8.964286e-001 8.964286e-001 8.035842e-001 6.457475e-001
970000  9.000000e-001 9.000000e-001 8.100000e-001 6.561000e-001
980000  9.107143e-001 9.107143e-001 8.294005e-001 6.879052e-001
990000  7.357143e-001 7.357143e-001 5.412755e-001 2.929792e-001
1000000  7.321429e-001 7.321429e-001 5.360332e-001 2.873316e-001
1010000  6.642857e-001 6.642857e-001 4.412755e-001 1.947241e-001
1020000  7.142857e-001 7.142857e-001 5.102041e-001 2.603082e-001
1030000  7.000000e-001 7.000000e-001 4.900000e-001 2.401000e-001
1040000  8.071429e-001 8.071429e-001 6.514796e-001 4.244257e-001
1050000  7.250000e-001 7.250000e-001 5.256250e-001 2.762816e-001
1060000  6.535714e-001 6.535714e-001 4.271556e-001 1.824619e-001
1070000  8.178571e-001 8.178571e-001 6.688903e-001 4.474142e-001
1080000  8.357143e-001 8.357143e-001 6.984184e-001 4.877882e-001
1090000  8.000000e-001 8.000000e-001 6.400000e-001 4.096000e-001
1100000  7.678571e-001 7.678571e-001 5.896046e-001 3.476336e-001
1110000  8.785714e-001 8.785714e-001 7.718878e-001 5.958107e-001
1120000  8.857143e-001 8.857143e-001 7.844898e-001 6.154242e-001
1130000  8.928571e-001 8.928571e-001 7.971939e-001 6.355181e-001
1140000  8.714286e-001 8.714286e-001 7.593878e-001 5.766698e-001
1150000  8.285714e-001 8.285714e-001 6.865306e-001 4.713243e-001
1160000  8.535714e-001 8.535714e-001 7.285842e-001 5.308349e-001
1170000  8.678571e-001 8.678571e-001 7.531760e-001 5.672741e-001
1180000  9.178571e-001 9.178571e-001 8.424617e-001 7.097418e-001
1190000  8.857143e-001 8.857143e-001 7.844898e-001 6.154242e-001
1200000  8.892857e-001 8.892857e-001 7.908291e-001 6.254106e-001
1210000  9.071429e-001 9.071429e-001 8.229082e-001 6.771778e-001
1220000  9.535714e-001 9.535714e-001 9.092985e-001 8.268237e-001
1230000  9.928571e-001 9.928571e-001 9.857653e-001 9.717332e-001
1240000  1.000000e+000 1.000000e+000 1.000000e+000 1.000000e+000
1250000  9.892857e-001 9.892857e-001 9.786862e-001 9.578267e-001
1260000  9.428571e-001 9.428571e-001 8.889796e-001 7.902847e-001
1270000  9.285714e-001 9.285714e-001 8.622449e-001 7.434663e-001
1280000  9.607143e-001 9.607143e-001 9.229719e-001 8.518772e-001
1290000  9.785714e-001 9.785714e-001 9.576020e-001 9.170017e-001
1300000  9.821429e-001 9.821429e-001 9.646046e-001 9.304620e-001
1310000  9.464286e-001 9.464286e-001 8.957270e-001 8.023269e-001
1320000  9.821429e-001 9.821429e-001 9.646046e-001 9.304620e-001
1330000  9.357143e-001 9.357143e-001 8.755612e-001 7.666075e-001
1340000  8.964286e-001 8.964286e-001 8.035842e-001 6.457475e-001
1350000  9.750000e-001 9.750000e-001 9.506250e-001 9.036879e-001
1360000  9.464286e-001 9.464286e-001 8.957270e-001 8.023269e-001
1370000  1.000000e+000 1.000000e+000 1.000000e+000 1.000000e+000
1380000  1.000000e+000 1.000000e+000 1.000000e+000 1.000000e+000
1390000  9.500000e-001 9.500000e-001 9.025000e-001 8.145062e-001
1400000  9.250000e-001 9.250000e-001 8.556250e-001 7.320941e-001
1410000  8.642857e-001 8.642857e-001 7.469898e-001 5.579938e-001
1420000  8.892857e-001 8.892857e-001 7.908291e-001 6.254106e-001
1430000  8.357143e-001 8.357143e-001 6.984184e-001 4.877882e-001
1440000  7.500000e-001 7.500000e-001 5.625000e-001 3.164063e-001
1450000  6.392857e-001 6.392857e-001 4.086862e-001 1.670244e-001
1460000  6.821429e-001 6.821429e-001 4.653189e-001 2.165217e-001
1470000  5.500000e-001 5.500000e-001 3.025000e-001 9.150625e-002
1480000  4.464286e-001 4.464286e-001 1.992985e-001 3.971988e-002
1490000  4.035714e-001 4.035714e-001 1.628699e-001 2.652660e-002
1500000  3.000000e-001 3.000000e-001 9.000000e-002 8.100000e-003
1510000  3.607143e-001 3.607143e-001 1.301148e-001 1.692986e-002
1520000  4.428571e-001 4.428571e-001 1.961224e-001 3.846401e-002
1530000  5.428571e-001 5.428571e-001 2.946939e-001 8.684448e-002
1540000  4.642857e-001 4.642857e-001 2.155612e-001 4.646664e-002
1550000  5.107143e-001 5.107143e-001 2.608291e-001 6.803181e-002
1560000  5.035714e-001 5.035714e-001 2.535842e-001 6.430494e-002
1570000  4.678571e-001 4.678571e-001 2.188903e-001 4.791297e-002
1580000  4.964286e-001 4.964286e-001 2.464413e-001 6.073333e-002
1590000  5.500000e-001 5.500000e-001 3.025000e-001 9.150625e-002
1600000  5.107143e-001 5.107143e-001 2.608291e-001 6.803181e-002
1610000  6.250000e-001 6.250000e-001 3.906250e-001 1.525879e-001
1620000  6.285714e-001 6.285714e-001 3.951020e-001 1.561056e-001
1630000  6.035714e-001 6.035714e-001 3.642985e-001 1.327134e-001
1640000  6.071429e-001 6.071429e-001 3.686224e-001 1.358825e-001
1650000  4.857143e-001 4.857143e-001 2.359184e-001 5.565748e-002
1660000  6.571429e-001 6.571429e-001 4.318367e-001 1.864830e-001
1670000  5.678571e-001 5.678571e-001 3.224617e-001 1.039816e-001
1680000  7.500000e-001 7.500000e-001 5.625000e-001 3.164063e-001
1690000  8.071429e-001 8.071429e-001 6.514796e-001 4.244257e-001
1700000  8.535714e-001 8.535714e-001 7.285842e-001 5.308349e-001
1710000  8.928571e-001 8.928571e-001 7.971939e-001 6.355181e-001
1720000  9.357143e-001 9.357143e-001 8.755612e-001 7.666075e-001
